interval_begin;interval_end;interval_id;edge_arrived;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_left;edge_sampledSeconds
3600.00;7200.00;3600_to_7200;0;0;0;-1000933268;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1006106056#0;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1006106056#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;2;7;21;-1024105863;0;0;26;2958.62
3600.00;7200.00;3600_to_7200;1;4;13;-1037986847;0;0;16;340.50
3600.00;7200.00;3600_to_7200;0;0;0;-1056901981#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1058267556#0;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1058267556#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1059828488;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1059828490;0;0;0;0.00
3600.00;7200.00;3600_to_7200;1;4;31;-1066438511#1;0;0;34;317.97
3600.00;7200.00;3600_to_7200;3;5;60;-1066478854#1;0;0;62;665.29
3600.00;7200.00;3600_to_7200;1;3;7;-1080960154#1;0;0;9;385.04
3600.00;7200.00;3600_to_7200;0;11;0;-1083809476#2;0;0;9;1119.66
3600.00;7200.00;3600_to_7200;0;0;0;-1089556862;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1092037414;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1092277111#0;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1092277112;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1092277114#0;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1092277114#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1099375861;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1104041094;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1104477172;0;0;0;0.00
3600.00;7200.00;3600_to_7200;2;6;6;-1106583870;0;0;10;160.58
3600.00;7200.00;3600_to_7200;0;0;0;-1109746214;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1109746215;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1112471208;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1127569560;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1143919181;0;0;0;0.00
3600.00;7200.00;3600_to_7200;5;3;11;-1156329250;0;0;9;12.98
3600.00;7200.00;3600_to_7200;0;0;0;-1156337048;0;0;0;0.00
3600.00;7200.00;3600_to_7200;2;3;15;-1167764376;0;0;16;181.71
3600.00;7200.00;3600_to_7200;0;0;0;-1174838574;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1189500284;0;0;0;0.00
3600.00;7200.00;3600_to_7200;4;5;62;-119180342#1;4;4;63;87.56
3600.00;7200.00;3600_to_7200;0;3;11;-121794822#1;0;0;14;907.49
3600.00;7200.00;3600_to_7200;3;4;33;-121794822#3;0;0;32;2413.04
3600.00;7200.00;3600_to_7200;0;5;11;-121794822#5;0;0;15;1565.38
3600.00;7200.00;3600_to_7200;0;2;12;-121794822#7;0;0;14;102.19
3600.00;7200.00;3600_to_7200;1;7;11;-121794822#9;0;0;17;101.82
3600.00;7200.00;3600_to_7200;0;11;0;-121794824;0;0;9;791.98
3600.00;7200.00;3600_to_7200;1;6;32;-121794825#0;0;0;36;1092.76
3600.00;7200.00;3600_to_7200;1;4;23;-121794825#2;0;0;20;6185.52
3600.00;7200.00;3600_to_7200;0;5;0;-121794825#3;0;0;5;13.51
3600.00;7200.00;3600_to_7200;4;2;21;-121794827;0;0;18;1376.41
3600.00;7200.00;3600_to_7200;0;0;24;-1230294701;0;0;17;13713.88
3600.00;7200.00;3600_to_7200;0;0;0;-1236138839;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1236138842;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1236456856;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1238081828#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1239207127#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1239219872#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1245256709;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1245258622;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1263793722#2;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;6;1;-1263793723;0;0;6;2990.44
3600.00;7200.00;3600_to_7200;3;9;12;-1267194155#2;0;0;17;309.23
3600.00;7200.00;3600_to_7200;0;0;0;-1305384085;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-1305393686;0;0;0;0.00
3600.00;7200.00;3600_to_7200;3;2;26;-1307684786#1;0;0;21;1886.25
3600.00;7200.00;3600_to_7200;0;0;0;-131916344;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-131916348#3;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-131954303;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-132043932;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-132043933;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-132043934#0;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-132043934#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;1;8;67;-132148870#1;0;0;72;4601.60
3600.00;7200.00;3600_to_7200;1;5;92;-132148870#2;0;0;95;312.14
3600.00;7200.00;3600_to_7200;0;0;0;-132376877;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-132453746;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-132453750#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-132453751;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-132453755;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-132453762;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-132928975;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-13548482#0;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-13548482#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-137118865;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-137419461#0;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-137419461#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-137419461#2;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-137634033;0;0;0;0.00
3600.00;7200.00;3600_to_7200;4;0;4;-13764245#1;0;0;0;113.44
3600.00;7200.00;3600_to_7200;0;8;0;-13764247#1;0;0;7;500.98
3600.00;7200.00;3600_to_7200;3;3;78;-13764389;0;0;77;208.55
3600.00;7200.00;3600_to_7200;1;2;97;-13853658;0;0;99;1016.70
3600.00;7200.00;3600_to_7200;3;7;40;-13853659#0;0;0;40;7263.82
3600.00;7200.00;3600_to_7200;1;5;38;-13853659#1;0;0;40;1050.90
3600.00;7200.00;3600_to_7200;4;3;5;-13853663;0;0;4;160.93
3600.00;7200.00;3600_to_7200;0;0;0;-138717593#0;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-138717593#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-138748684;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-138748689;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;9;11;-14118784#0;0;0;20;313.60
3600.00;7200.00;3600_to_7200;0;5;5;-14118784#2;0;0;7;1108.65
3600.00;7200.00;3600_to_7200;0;5;8;-14362916#1;0;0;13;776.41
3600.00;7200.00;3600_to_7200;0;0;0;-14475193#5;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;10;0;-145550725#1;0;0;10;355.56
3600.00;7200.00;3600_to_7200;3;0;3;-14858868;0;0;0;28.70
3600.00;7200.00;3600_to_7200;2;0;2;-150275972;0;0;0;29.57
3600.00;7200.00;3600_to_7200;1;3;50;-150275984#0;0;0;47;3251.74
3600.00;7200.00;3600_to_7200;0;7;45;-150275984#1;0;0;51;542.17
3600.00;7200.00;3600_to_7200;1;7;39;-150275984#2;0;0;45;123.88
3600.00;7200.00;3600_to_7200;0;7;32;-150275984#3;0;0;39;150.99
3600.00;7200.00;3600_to_7200;1;4;29;-150275984#4;0;0;32;169.89
3600.00;7200.00;3600_to_7200;1;7;18;-150275984#6;0;0;24;1692.41
3600.00;7200.00;3600_to_7200;4;0;4;-150275985#2;0;0;0;32.24
3600.00;7200.00;3600_to_7200;2;4;108;-150275986#1;0;0;108;1864.58
3600.00;7200.00;3600_to_7200;1;3;110;-150275986#2;0;0;111;3305.74
3600.00;7200.00;3600_to_7200;1;5;107;-150275986#3;0;0;110;525.13
3600.00;7200.00;3600_to_7200;2;6;103;-150275986#4;0;0;107;91.73
3600.00;7200.00;3600_to_7200;1;3;21;-150275988#2;0;0;23;275.91
3600.00;7200.00;3600_to_7200;0;5;16;-150275988#4;0;0;21;178.11
3600.00;7200.00;3600_to_7200;4;4;16;-150275988#5;0;0;16;218.45
3600.00;7200.00;3600_to_7200;0;0;0;-150275992#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;2;5;30;-150276003#1;0;0;33;3713.73
3600.00;7200.00;3600_to_7200;0;5;18;-150276003#2;0;0;23;631.01
3600.00;7200.00;3600_to_7200;1;8;16;-15089551;0;0;23;183.69
3600.00;7200.00;3600_to_7200;0;6;0;-155472436#1;0;0;6;93.54
3600.00;7200.00;3600_to_7200;0;0;0;-159636087;0;0;0;0.00
3600.00;7200.00;3600_to_7200;3;2;98;-17073048#1;0;0;95;4213.02
3600.00;7200.00;3600_to_7200;0;0;0;-175976586#3;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-175976586#5;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-175976586#7;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;2;68;-17670100#4;0;0;57;35124.77
3600.00;7200.00;3600_to_7200;0;2;70;-17670100#6;0;0;62;30858.23
3600.00;7200.00;3600_to_7200;2;6;12;-17671153;0;0;16;35.52
3600.00;7200.00;3600_to_7200;0;2;47;-220267104#1;0;0;42;12268.88
3600.00;7200.00;3600_to_7200;0;5;78;-220267105#0;0;0;79;7463.45
3600.00;7200.00;3600_to_7200;1;2;76;-220267105#1;0;0;66;23410.73
3600.00;7200.00;3600_to_7200;2;1;130;-220267105#2;0;0;116;23819.82
3600.00;7200.00;3600_to_7200;0;3;125;-220267105#3;0;0;123;8211.80
3600.00;7200.00;3600_to_7200;0;5;127;-220267105#4;0;0;125;10963.69
3600.00;7200.00;3600_to_7200;0;14;0;-220267106#1;0;0;13;1499.70
3600.00;7200.00;3600_to_7200;2;4;13;-220267107#0;0;0;14;190.58
3600.00;7200.00;3600_to_7200;2;4;21;-220267107#1;0;0;23;308.78
3600.00;7200.00;3600_to_7200;2;2;37;-220267108#2;0;0;31;8965.13
3600.00;7200.00;3600_to_7200;1;4;22;-220267247#0;0;0;25;85.79
3600.00;7200.00;3600_to_7200;1;2;20;-220267247#1;0;0;21;89.26
3600.00;7200.00;3600_to_7200;3;2;21;-220267247#2;0;0;20;25.90
3600.00;7200.00;3600_to_7200;0;13;8;-220267247#5;0;0;21;264.10
3600.00;7200.00;3600_to_7200;1;0;1;-23084263#0;0;0;0;10.62
3600.00;7200.00;3600_to_7200;3;2;7;-23084263#2;0;0;6;70.82
3600.00;7200.00;3600_to_7200;0;1;3;-23084282;0;0;4;100.05
3600.00;7200.00;3600_to_7200;7;0;7;-231475826#2;0;0;0;103.33
3600.00;7200.00;3600_to_7200;1;0;1;-231483332#2;0;0;0;16.03
3600.00;7200.00;3600_to_7200;1;4;70;-231940830#3;0;0;74;2731.84
3600.00;7200.00;3600_to_7200;2;1;65;-236306864#4;0;0;54;1654.84
3600.00;7200.00;3600_to_7200;2;5;16;-237344387;0;0;16;6999.31
3600.00;7200.00;3600_to_7200;0;0;0;-23912283#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;6;6;-239757763;0;0;12;496.05
3600.00;7200.00;3600_to_7200;1;1;50;-239757874#1;0;0;31;25609.95
3600.00;7200.00;3600_to_7200;3;7;17;-239757874#3;0;0;21;134.03
3600.00;7200.00;3600_to_7200;2;7;2;-239758251;0;0;7;199.58
3600.00;7200.00;3600_to_7200;7;6;20;-239923867#1;0;0;18;790.62
3600.00;7200.00;3600_to_7200;3;5;39;-240549301;0;0;41;3517.38
3600.00;7200.00;3600_to_7200;0;1;18;-244422543#1;0;0;17;3433.00
3600.00;7200.00;3600_to_7200;2;0;91;-244422544#1;0;0;74;33718.01
3600.00;7200.00;3600_to_7200;0;2;44;-265113917#1;0;0;40;5974.55
3600.00;7200.00;3600_to_7200;1;3;12;-27807643#2;0;0;14;198.99
3600.00;7200.00;3600_to_7200;2;6;10;-27882418#1;0;0;14;859.37
3600.00;7200.00;3600_to_7200;0;4;76;-27882429#2;0;0;63;30330.79
3600.00;7200.00;3600_to_7200;0;0;0;-28574666#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;4;7;37;-28575360;0;0;40;2315.76
3600.00;7200.00;3600_to_7200;1;2;85;-290172304;0;0;71;31729.95
3600.00;7200.00;3600_to_7200;2;3;37;-290172305#0;0;0;31;12433.23
3600.00;7200.00;3600_to_7200;5;5;85;-290174549#0;0;0;69;16996.68
3600.00;7200.00;3600_to_7200;1;4;82;-290174549#3;0;0;84;796.01
3600.00;7200.00;3600_to_7200;0;5;6;-29023870#1;0;0;9;1130.46
3600.00;7200.00;3600_to_7200;0;3;29;-291949061#2;0;0;25;4409.50
3600.00;7200.00;3600_to_7200;0;0;0;-302657565#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;11;0;-30324793;0;0;11;351.77
3600.00;7200.00;3600_to_7200;5;5;23;-305670610;0;0;22;482.59
3600.00;7200.00;3600_to_7200;0;0;0;-308617262;0;0;0;0.00
3600.00;7200.00;3600_to_7200;5;5;13;-31411680#2;0;0;12;875.87
3600.00;7200.00;3600_to_7200;1;5;41;-31411842#1;0;0;45;779.26
3600.00;7200.00;3600_to_7200;0;0;0;-31411969;0;0;0;0.00
3600.00;7200.00;3600_to_7200;1;4;43;-31428170#1;0;0;35;10454.20
3600.00;7200.00;3600_to_7200;0;0;137;-31431101#1;0;0;119;52961.61
3600.00;7200.00;3600_to_7200;1;4;120;-31431101#2;0;0;116;14247.57
3600.00;7200.00;3600_to_7200;1;1;130;-31431101#4;0;0;121;21395.53
3600.00;7200.00;3600_to_7200;1;4;133;-31431101#5;0;0;130;8721.30
3600.00;7200.00;3600_to_7200;1;2;13;-31431343#2;0;0;14;164.32
3600.00;7200.00;3600_to_7200;1;3;2;-31445160#0;0;0;4;901.30
3600.00;7200.00;3600_to_7200;1;8;4;-31445160#2;0;0;10;1196.42
3600.00;7200.00;3600_to_7200;0;2;74;-31459223#1;0;0;66;24281.61
3600.00;7200.00;3600_to_7200;4;0;4;-31512978#1;0;0;0;12.15
3600.00;7200.00;3600_to_7200;1;6;3;-31512978#2;0;0;8;13.95
3600.00;7200.00;3600_to_7200;0;0;0;-31516327#0;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-31516327#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;2;2;43;-31519076#0;0;0;40;7768.68
3600.00;7200.00;3600_to_7200;0;3;51;-31519076#1;0;0;43;21631.35
3600.00;7200.00;3600_to_7200;1;3;60;-31519076#2;0;0;51;30406.43
3600.00;7200.00;3600_to_7200;2;6;75;-32200291;0;0;69;31484.28
3600.00;7200.00;3600_to_7200;2;3;16;-327412184;0;0;16;1165.76
3600.00;7200.00;3600_to_7200;2;6;17;-33301560#1;0;0;21;797.24
3600.00;7200.00;3600_to_7200;0;0;0;-33301680#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;1;5;16;-34065519;0;0;17;6791.85
3600.00;7200.00;3600_to_7200;0;0;0;-366576297;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;11;0;-36786443#2;0;0;10;368.61
3600.00;7200.00;3600_to_7200;1;3;69;-36786444#2;2;2;70;1413.67
3600.00;7200.00;3600_to_7200;3;2;78;-36786445#2;1;1;75;3462.83
3600.00;7200.00;3600_to_7200;0;0;0;-37346632#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-377719665;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-396062730;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-396636211;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-396957783;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;5;17;-400062404;0;0;21;2327.69
3600.00;7200.00;3600_to_7200;2;5;39;-400062405;0;0;38;11252.55
3600.00;7200.00;3600_to_7200;0;0;0;-400587011;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-400587016#0;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-400587016#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-400603376#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-400961616;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-400961623;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-401041385#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-403882372;0;0;0;0.00
3600.00;7200.00;3600_to_7200;2;1;46;-40493501#0;0;0;42;5794.98
3600.00;7200.00;3600_to_7200;2;6;49;-40493501#1;0;0;46;5265.00
3600.00;7200.00;3600_to_7200;1;6;47;-40493501#2;0;0;49;986.98
3600.00;7200.00;3600_to_7200;0;4;27;-40493501#3;0;0;35;10423.44
3600.00;7200.00;3600_to_7200;0;7;31;-40493501#4;0;0;33;9651.90
3600.00;7200.00;3600_to_7200;2;5;15;-40493652;0;0;18;30.89
3600.00;7200.00;3600_to_7200;1;0;1;-40598675#2;0;0;0;11.93
3600.00;7200.00;3600_to_7200;1;4;4;-40598675#3;0;0;7;144.58
3600.00;7200.00;3600_to_7200;0;0;0;-409506868;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;5;47;-414404581#1;0;0;47;5839.30
3600.00;7200.00;3600_to_7200;0;0;0;-430147229#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;1;5;33;-4312572#1;0;0;37;1010.07
3600.00;7200.00;3600_to_7200;6;2;15;-4312633;0;0;11;203.40
3600.00;7200.00;3600_to_7200;2;6;23;-4318228#2;0;0;19;7132.48
3600.00;7200.00;3600_to_7200;3;7;176;-4318237#2;0;0;178;2792.84
3600.00;7200.00;3600_to_7200;0;13;12;-4318239#1;0;0;25;654.40
3600.00;7200.00;3600_to_7200;0;0;0;-4318240#0;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-4318240#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;3;4;25;-4318242#1;0;0;24;413.40
3600.00;7200.00;3600_to_7200;0;9;4;-433333438#1;4;4;12;67.78
3600.00;7200.00;3600_to_7200;6;0;9;-434361017#1;0;0;3;71.13
3600.00;7200.00;3600_to_7200;5;0;5;-43963512#1;0;0;0;42.92
3600.00;7200.00;3600_to_7200;1;0;1;-4426074#1;0;0;0;41.00
3600.00;7200.00;3600_to_7200;2;0;2;-4426075#1;0;0;0;59.62
3600.00;7200.00;3600_to_7200;1;0;10;-4426076#0;0;0;9;65.24
3600.00;7200.00;3600_to_7200;1;9;2;-4426076#2;0;0;10;98.39
3600.00;7200.00;3600_to_7200;1;5;12;-450925440;0;0;15;165.11
3600.00;7200.00;3600_to_7200;3;5;17;-47027406;0;0;19;41.11
3600.00;7200.00;3600_to_7200;0;0;200;-47027743#2;0;0;191;40902.15
3600.00;7200.00;3600_to_7200;3;4;6;-47027857#1;0;0;7;14.09
3600.00;7200.00;3600_to_7200;2;4;20;-4726710#0;0;0;19;3632.60
3600.00;7200.00;3600_to_7200;0;12;8;-4726710#1;0;0;20;63.30
3600.00;7200.00;3600_to_7200;0;4;36;-4726711#0;0;0;40;804.15
3600.00;7200.00;3600_to_7200;2;4;23;-4726711#1;0;0;25;345.67
3600.00;7200.00;3600_to_7200;1;3;12;-4730648#1;0;0;13;2746.06
3600.00;7200.00;3600_to_7200;1;9;4;-4730648#2;0;0;12;88.04
3600.00;7200.00;3600_to_7200;0;5;2;-4730648#4;0;0;7;19.06
3600.00;7200.00;3600_to_7200;2;7;13;-47426239;0;0;18;298.70
3600.00;7200.00;3600_to_7200;0;2;100;-47426241#1;0;0;73;80687.24
3600.00;7200.00;3600_to_7200;3;6;75;-47426244#0;0;0;77;2043.22
3600.00;7200.00;3600_to_7200;0;6;71;-47426244#1;0;0;76;361.05
3600.00;7200.00;3600_to_7200;4;3;72;-47426244#2;0;0;71;670.63
3600.00;7200.00;3600_to_7200;3;4;38;-47446166;0;0;37;4075.85
3600.00;7200.00;3600_to_7200;0;0;66;-4760584#1;0;0;53;36578.88
3600.00;7200.00;3600_to_7200;1;3;40;-47895849#0;0;0;43;2732.58
3600.00;7200.00;3600_to_7200;6;6;40;-47895849#3;0;0;40;2324.45
3600.00;7200.00;3600_to_7200;2;4;38;-47895849#4;0;0;37;4536.22
3600.00;7200.00;3600_to_7200;4;6;42;-47896065;0;0;41;4263.59
3600.00;7200.00;3600_to_7200;0;3;26;-47999870;0;0;22;10199.86
3600.00;7200.00;3600_to_7200;0;3;2;-47999871;0;0;5;725.18
3600.00;7200.00;3600_to_7200;0;0;0;-480301021#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-480522772;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;7;0;-480937385;0;0;7;62.64
3600.00;7200.00;3600_to_7200;3;4;88;-507534348#1;0;0;89;748.84
3600.00;7200.00;3600_to_7200;0;0;0;-510702675#4;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;4;112;-510702678#1;0;0;110;33027.47
3600.00;7200.00;3600_to_7200;0;7;8;-523287556;0;0;15;43.34
3600.00;7200.00;3600_to_7200;3;0;16;-524150306#1;7;7;13;378.35
3600.00;7200.00;3600_to_7200;0;5;11;-524150311#0;2;2;16;40.25
3600.00;7200.00;3600_to_7200;1;5;7;-524150311#1;4;4;11;90.62
3600.00;7200.00;3600_to_7200;1;6;67;-524150320#2;3;3;72;552.69
3600.00;7200.00;3600_to_7200;3;6;107;-524150326;0;0;110;852.97
3600.00;7200.00;3600_to_7200;1;4;110;-524150333#1;0;0;113;2343.43
3600.00;7200.00;3600_to_7200;2;6;103;-524150338#1;2;2;104;12287.52
3600.00;7200.00;3600_to_7200;2;6;105;-524150342;4;4;106;2618.00
3600.00;7200.00;3600_to_7200;1;5;113;-524150347#1;0;0;107;9375.17
3600.00;7200.00;3600_to_7200;1;2;89;-5450857#1;0;0;84;12854.67
3600.00;7200.00;3600_to_7200;0;0;0;-5450858#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-5451797;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-5451917#2;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-555922918#4;0;0;0;0.00
3600.00;7200.00;3600_to_7200;3;8;61;-62020321;27;27;65;1106.75
3600.00;7200.00;3600_to_7200;1;9;98;-628755543;0;0;107;884.49
3600.00;7200.00;3600_to_7200;1;4;82;-628755544#1;0;0;86;2289.48
3600.00;7200.00;3600_to_7200;2;7;77;-628755544#4;0;0;82;630.16
3600.00;7200.00;3600_to_7200;3;7;69;-628755546#4;0;0;73;1073.28
3600.00;7200.00;3600_to_7200;1;4;73;-628755547#3;0;0;76;2555.52
3600.00;7200.00;3600_to_7200;0;5;67;-628755547#6;0;0;72;728.65
3600.00;7200.00;3600_to_7200;3;5;76;-628757206#2;0;0;78;1312.39
3600.00;7200.00;3600_to_7200;2;3;72;-628762073#5;0;0;72;3064.50
3600.00;7200.00;3600_to_7200;0;7;0;-628762074#2;0;0;7;490.02
3600.00;7200.00;3600_to_7200;1;1;5;-628782530;0;0;5;10.01
3600.00;7200.00;3600_to_7200;1;3;20;-643081314#1;0;0;22;911.61
3600.00;7200.00;3600_to_7200;0;0;0;-644462282;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-654207094;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-654207097#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-654207098#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-654207105#0;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-654207105#1;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-654207105#2;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;0;0;-654207105#3;0;0;0;0.00
3600.00;7200.00;3600_to_7200;5;0;5;-654207120;0;0;0;2.27
3600.00;7200.00;3600_to_7200;0;10;0;-654207122;0;0;10;26.07
3600.00;7200.00;3600_to_7200;3;0;3;-654207127#1;0;0;0;109.77
3600.00;7200.00;3600_to_7200;2;6;2;-654207127#2;0;0;6;355.77
3600.00;7200.00;3600_to_7200;2;3;7;-654207127#3;0;0;8;592.00
3600.00;7200.00;3600_to_7200;3;2;11;-654207127#4;0;0;10;409.05
3600.00;7200.00;3600_to_7200;3;6;16;-654207127#5;0;0;18;890.81
3600.00;7200.00;3600_to_7200;2;9;2;-654207127#8;0;0;9;1075.45
3600.00;7200.00;3600_to_7200;0;0;0;-690208690;0;0;0;0.00
3600.00;7200.00;3600_to_7200;0;2;84;-70724345#1;0;0;76;11206.51
3600.00;7200.00;3600_to_7200;1;3;34;-70724346#1;0;0;35;3371.41
3600.00;7200.00;3600_to_7200;0;1;37;-70724346#3;0;0;33;14241.31
3600.00;7200.00;3600_to_7200;0;2;40;-70724349;0;0;27;38526.27
3600.00;7200.00;3600_to_7200;3;5;21;-7682863#1;0;0;13;14149.55
3600.00;7200.00;3600_to_7200;1;3;29;-7682866#1;0;0;14;47070.62
3600.00;7200.00;3600_to_7200;3;5;27;-7682866#3;0;0;29;133.18
3600.00;7200.00;3600_to_7200;2;7;3;-781650841;0;0;8;108.49
3600.00;7200.00;3600_to_7200;0;3;101;-781742860#0;0;0;87;50238.08
3600.00;7200.00;3600_to_7200;1;3;107;-781742860#2;0;0;103;17282.15
3600.00;7200.00;3600_to_7200;1;3;129;-781742860#5;0;0;129;16804.59
3600.00;7200.00;3600_to_7200;2;4;144;-781742860#8;0;0;135;54386.35
3600.00;7200.00;3600_to_7200;0;0;0;-786582202;0;0;0;0.00
3600.00;7200.00;3600_to_7200;1;6;2;-803266531#0;0;0;7;29.71
3600.00;7200.00;3600_to_7200;3;3;19;-8139943#1;0;0;20;136.30
3600.00;7200.00;3600_to_7200;1;3;74;-8140188#10;0;0;76;1316.30
3600.00;7200.00;3600_to_7200;0;6;67;-8140188#16;0;0;74;1541.80
3600.00;7200.00;3600_to_7200;4;4;13;-8140188#2;0;0;13;143.84
3600.00;7200.00;3600_to_7200;3;6;46;-8140188#4;0;0;49;529.62
3600.00;7200.00;3600_to_7200;3;4;58;-8140188#8;0;0;59;1039.77
3600.00;7200.00;3600_to_7200;2;3;24;-8140193#2;0;0;23;1464.22
3600.00;7200.00;3600_to_7200;1;3;30;-8140196;0;0;32;359.39
